Tiêu đề,Q4/2020,% Q4/2019,Q3/2020,% Q3/2019,Q2/2020,% Q2/2019,Q1/2020,% Q1/2019,Q4/2019,% Q4/2018,Q3/2019,% Q3/2018,Q2/2019,% Q2/2018,Q1/2019,% Q1/2018
Lợi thế thương mại,,,,,,,,,,,,,,,,
Tài sản dài hạn khác,2796.90148335,-8.92709917711029,2795.0767566,147.6021664710019,2910.16972764,107.08118964465069,2980.63174999,134.83006209694918,3071.05786472,131.70795973016078,1128.85795647,5.0245756761570854,1405.32789706,31.969962537719244,1269.27179739,15.559035411528269
TỔNG NGUỒN VỐN,48432.4806736,8.350375526497702,50396.4575169,25.671144692918514,49596.8099462,23.416669724981013,46073.727019,20.28041282709602,44699.873386,19.62678211870927,40101.8528478,17.855006253755658,40186.4756655,11.062894074480347,38305.2617929,8.425277346152784
NỢ PHẢI TRẢ,14785.3584438,-1.2242929552712187,18704.9360405,52.553571505422745,17241.110573,53.21678877959665,13826.9629831,47.37707675722173,14968.6181817,34.91635713916332,12261.2246019,51.8188137695948,11252.7554652,16.639322294139305,9382.03096936,3.809019568604747
Nợ ngắn hạn,14212.6462855,-1.5939064566710737,18164.1455811,52.33185769763221,16681.7212595,54.22990275362064,13314.9734202,51.02044546640248,14442.8518334,35.74629384758459,11924.062278,61.54967384598803,10816.1393878,22.04082661083019,8816.66941127,4.439528986312562
Nợ dài hạn,572.712158332,8.929025254830488,540.790459406,60.3946885766579,559.389313551,28.119265962883993,511.98956286,-9.440329726718865,525.76634831,15.515633582643911,337.162323893,-51.49944266153962,436.616077486,-44.36296479183733,565.361558092,-5.123305137877395
VỐN CHỦ SỞ HỮU,33647.1222298,13.170876905393754,31691.5214764,13.831919296099615,32355.6993732,11.826958819406657,32246.7640359,11.490878154938505,29731.2552044,13.169796648425002,27840.6282459,7.28479273035388,28933.7202002,9.03552071844183,28923.2308235,10.012163338679267
Vốn và các quỹ,33647.1222298,13.170876905393754,31691.5214764,13.831919296099615,32355.6993732,11.826958819406657,32246.7640359,11.490878154938505,29731.2552044,13.169796648425002,27840.6282459,7.28479273035388,28933.7202002,9.03552071844183,28923.2308235,10.012163338679267
Vốn Ngân sách nhà nước và quỹ khác,,,,,,,,,,,,,,,,
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,,
